ACK Flag Count,Active Max,Active Mean,Active Min,Active Std,Average Packet Size,Bwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Header Length,Bwd IAT Max,Bwd IAT Mean,Bwd IAT Min,Bwd IAT Std,Bwd IAT Total,Bwd Init Win Bytes,Bwd PSH Flags,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Min,Bwd Packet Length Std,Bwd Packet/Bulk Avg,Bwd Segment Size Avg,Bwd URG Flags,CWR Flag Count,Down/Up Ratio,Dst Port,ECE Flag Count,FIN Flag Count,FWD Init Win Bytes,Flow Bytes/s,Flow Duration,Flow IAT Max,Flow IAT Mean,Flow IAT Min,Flow IAT Std,Flow Packets/s,Fwd Bulk Rate Avg,Fwd Bytes/Bulk Avg,Fwd Header Length,Fwd IAT Max,Fwd IAT Mean,Fwd IAT Min,Fwd IAT Std,Fwd IAT Total,Fwd PSH Flags,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Min,Fwd Packet Length Std,Fwd Packet/Bulk Avg,Fwd Segment Size Avg,Fwd URG Flags,Idle Max,Idle Mean,Idle Min,Idle Std,PSH Flag Count,Packet Length Max,Packet Length Mean,Packet Length Min,Packet Length Std,Packet Length Variance,Protocol,RST Flag Count,SYN Flag Count,Subflow Bwd Bytes,Subflow Bwd Packets,Subflow Fwd Bytes,Subflow Fwd Packets,Total Bwd packets,Total Fwd Packet,Total Length of Bwd Packet,Total Length of Fwd Packet,URG Flag Count,folder_class
9.0,0.0022580624,0.0011290312,0.0,0.0,130.0,6.0,442.85757,240.0,620.1267,451.6125,170.94612,164.303,2258.0623,65535.0,1.0,303.0,106.833336,66.0,87.77702,641.0,106.833336,0.0,0.0,0.9726859,45164.0,0.0,2.0,65535.0,575714.8,2258.0,468.0157,250.89581,42.20009,137.62047,4428.5757,4.0,442.85757,160.0,874.0425,590.9602,261.7836,252.06978,1772.8806,1.0,453.0,164.75,66.0,166.45326,659.0,164.75,0.0,0.0022580624,0.0011290312,0.0,0.0,2.0,453.0,130.0,66.0,128.49358,16510.6,6.0,0.0,2.0,641.0,6.0,659.0,4.0,6.0,4.0,641.0,659.0,0.0,API
9.0,0.0064890385,0.0032445192,0.0,0.0,235.0,6.0,154.10603,240.0,2722.025,1297.8077,0.0,1010.2088,6489.0386,65535.0,1.0,438.0,129.33333,66.0,138.07083,776.0,129.33333,0.0,0.0,0.49301144,41280.0,0.0,2.0,65535.0,362149.2,6489.0,2279.0432,721.0043,0.0,860.06366,1541.0604,4.0,154.10603,160.0,3184.08,2073.0496,756.0253,1001.89404,6219.1484,1.0,1368.0,393.5,66.0,562.6373,1574.0,393.5,0.0,0.0064890385,0.0032445192,0.0,0.0,2.0,1368.0,235.0,66.0,393.45978,154810.6,6.0,0.0,2.0,776.0,6.0,1574.0,4.0,6.0,4.0,776.0,1574.0,0.0,API
9.0,0.0015950203,0.00079751015,0.0,0.0,110.0,5.0,626.9513,200.0,1038.0745,397.02655,0.0,394.21564,1588.1062,65535.0,1.0,271.0,108.6,66.0,81.259094,543.0,108.6,0.0,0.0,0.9748654,59840.0,0.0,2.0,65535.0,689646.4,1595.0,580.0724,177.22447,0.0,180.57153,6269.5127,5.0,626.9513,200.0,580.0724,388.97992,140.90538,158.46547,1555.9197,2.0,249.0,111.4,66.0,70.06168,557.0,111.4,0.0,0.0015950203,0.00079751015,0.0,0.0,3.0,271.0,110.0,66.0,75.880165,5757.8,6.0,0.0,2.0,543.0,5.0,557.0,5.0,5.0,5.0,543.0,557.0,0.0,API
18.0,383.02222,191.51111,0.0,0.0,123.0,6.0,0.0052216295,480.0,383018140.0,34820200.0,0.0,110109860.0,383022200.0,65535.0,2.0,251.0,95.166664,66.0,62.14611,571.0,95.166664,0.0,0.0,0.8664643,47332.0,0.0,4.0,65535.0,6.422604,383022200.0,383018140.0,20159064.0,0.0,85526700.0,0.052216295,4.0,0.0052216295,320.0,383018140.0,54717440.0,429.8687,134028200.0,383022080.0,2.0,453.0,164.75,66.0,166.45326,659.0,164.75,0.0,383.02222,191.51111,0.0,0.0,4.0,453.0,123.0,66.0,120.67311,14562.0,6.0,0.0,4.0,1142.0,12.0,1318.0,8.0,12.0,8.0,1142.0,1318.0,0.0,API
9.0,0.0020771027,0.0010385513,0.0,0.0,110.2,5.0,481.43985,200.0,1333.9519,517.0107,0.0,495.73584,2068.0427,65535.0,1.0,273.0,109.0,66.0,82.05852,545.0,109.0,0.0,0.0,0.978456,45222.0,0.0,2.0,65535.0,530546.7,2077.0,1029.9683,230.78918,0.0,312.40903,4814.3984,5.0,481.43985,200.0,1029.9683,514.03046,137.09068,331.1037,2056.1218,2.0,249.0,111.4,66.0,70.06168,557.0,111.4,0.0,0.0020771027,0.0010385513,0.0,0.0,3.0,273.0,110.2,66.0,76.3057,5822.56,6.0,0.0,2.0,545.0,5.0,557.0,5.0,5.0,5.0,545.0,557.0,0.0,API
36.0,556.24744,278.12372,0.0,0.0,125.275,6.0,0.0071910443,960.0,301690880.0,24184672.0,0.0,69169610.0,556247400.0,65535.0,4.0,281.0,98.958336,66.0,71.06891,593.75,98.958336,0.0,0.0,0.9009863,43464.0,0.0,8.0,65535.0,9.008581,556247400.0,301690880.0,14262755.0,0.0,54434396.0,0.07191044,4.0,0.0071910443,640.0,301691600.0,37083104.0,473.02246,82812300.0,556246600.0,4.0,453.0,164.75,66.0,166.45326,659.0,164.75,0.0,556.24744,278.12372,0.0,0.0,8.0,453.0,125.275,66.0,123.09346,15151.999,6.0,0.0,8.0,2375.0,24.0,2636.0,16.0,24.0,16.0,2375.0,2636.0,0.0,API
54.0,1774.1927,887.0964,0.0,0.0,121.916664,6.0,0.0033818197,1440.0,779690400.0,50691220.0,0.0,160037820.0,1774192800.0,65535.0,6.0,264.0,93.361115,66.0,58.227596,560.1667,93.361115,0.0,0.0,0.8500253,47890.0,0.0,12.0,65535.0,4.123002,1774192800.0,779690400.0,30071064.0,0.0,125752500.0,0.033818197,4.0,0.0033818197,960.0,779690700.0,77138800.0,274.18137,192184480.0,1774192400.0,6.0,453.0,164.75,66.0,166.45326,659.0,164.75,0.0,1774.1927,887.0964,0.0,0.0,12.0,453.0,121.916664,66.0,119.75006,14340.076,6.0,0.0,12.0,3361.0,36.0,3954.0,24.0,36.0,24.0,3361.0,3954.0,0.0,API
54.0,1628.306,814.153,0.0,0.0,126.816666,6.0,0.0036848108,1440.0,617451300.0,46523030.0,153.77998,132855540.0,1628306000.0,65535.0,6.0,346.0,101.52778,66.0,77.26846,609.1667,101.52778,0.0,0.0,0.92438036,44402.0,0.0,12.0,65535.0,4.6729546,1628306000.0,617451300.0,27598408.0,0.0,104847416.0,0.03684811,4.0,0.0036848108,960.0,617451800.0,70795900.0,193.8343,158559860.0,1628305800.0,6.0,453.0,164.75,66.0,166.45326,659.0,164.75,0.0,1628.306,814.153,0.0,0.0,12.0,453.0,126.816666,66.0,124.996864,15624.217,6.0,0.0,12.0,3655.0,36.0,3954.0,24.0,36.0,24.0,3655.0,3954.0,0.0,API
54.0,1917.1525,958.57623,0.0,0.0,124.61667,6.0,0.0031296415,1440.0,507560700.0,54775784.0,0.0,138414900.0,1917152400.0,65535.0,6.0,307.0,97.861115,66.0,68.90136,587.1667,97.861115,0.0,0.0,0.89099646,60884.0,0.0,12.0,65535.0,3.900055,1917152400.0,507560700.0,32494110.0,0.0,109951550.0,0.031296417,4.0,0.0031296415,960.0,507561100.0,83354440.0,303.03003,163622830.0,1917152000.0,6.0,453.0,164.75,66.0,166.45326,659.0,164.75,0.0,1917.1525,958.57623,0.0,0.0,12.0,453.0,124.61667,66.0,122.4945,15004.903,6.0,0.0,12.0,3523.0,36.0,3954.0,24.0,36.0,24.0,3523.0,3954.0,0.0,API
18.0,286.95068,143.47534,0.0,0.0,123.9,6.0,0.0069698384,480.0,286941630.0,26086426.0,0.0,82489660.0,286950700.0,65535.0,2.0,266.0,96.666664,66.0,65.79429,580.0,96.666664,0.0,0.0,0.8801214,35548.0,0.0,4.0,65535.0,8.63563,286950700.0,286941630.0,15102668.0,0.0,64073060.0,0.069698386,4.0,0.0069698384,320.0,286942050.0,40992916.0,321.14984,100408310.0,286950430.0,2.0,453.0,164.75,66.0,166.45326,659.0,164.75,0.0,286.95068,143.47534,0.0,0.0,4.0,453.0,123.9,66.0,121.62438,14792.49,6.0,0.0,4.0,1160.0,12.0,1318.0,8.0,12.0,8.0,1160.0,1318.0,0.0,API
